SYSTEM_ID,NAME,PURPOSE,CLASSIFICATION,STATUS,SOURCE_ROOTS,ENTRYPOINTS,RUNTIME_REACHABILITY,RUNTIME_IDENTITY,AUTHORITY_LEVEL,MUTATION_CAPABILITY,STATE_OWNED,STATE_CONSUMED,PRODUCERS,CONSUMERS,UPSTREAM_DEPENDENCIES,DOWNSTREAM_DEPENDENCIES,NETWORK_BOUNDARY,TRUST_BOUNDARY,INPUTS,OUTPUTS,EVIDENCE_PRODUCED,EVIDENCE_CONSUMED,OBSERVABILITY,FAILURE_MODES,FAIL_CLOSED_BEHAVIOR,RECOVERY_OWNER,TEST_COVERAGE,DYNAMIC_VALIDATION,DOCUMENTATION,KNOWN_LIMITATIONS,HISTORICAL_ORIGIN,CANONICALITY_CONFIDENCE,BUILD_ON_VALUE,NOTES,SUPPORT_TIER,QUALIFICATION_SCOPE,REACHED_BY_SUPPORTED_V1_PATH
SYS-011,SPIRE registration reconciler,Reconcile declared namespace/service-account identities into SPIRE entries.,CANONICAL_IDENTITY,LIVE_OPERATOR_PATH,platform/identity/spire/entries.yaml; scripts/proof/reconcile_spire_entries.sh,bootstrap registration stage,Runs from host against SPIRE socket,Kubernetes admin plus SPIRE server socket,Registration producer,entry create/update/delete to declared set,SPIRE registration entries,canonical entries.yaml,platform/identity/spire/entries.yaml; scripts/proof/reconcile_spire_entries.sh,workload SVID issuance,canonical entries.yaml,workload SVID issuance,See 13_NETWORK_AND_TRUST_ATLAS.md,Registration producer,canonical entries.yaml,workload SVID issuance,entry inventory and reconciliation log,"proof/status, logs, runtime state as applicable",entry inventory and reconciliation log,Missing/stale entry prevents SVID,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Registration reconciler,Focused entry and Golden Boot tests,entry inventory and reconciliation log,See repository roots and atlas cross-references,Host-to-pod CLI coupling,Cold-start registration repair,HIGH,HIGH,,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
SYS-012,Trust authority lifecycle,"Model active, issuance, bundle, and successor roots and project canonical artifacts.",CANONICAL_IDENTITY,LIVE,scripts/identity; scripts/verify/verify_trust_root*; artifacts/trust,bootstrap trust convergence; proof identity phase,Host scripts reading SPIRE and cluster,SPIRE root fingerprints/serials,Trust-state classification authority,Publish derived trust artifacts and lifecycle state,Active/issuance/successor/bundle evidence,SPIRE CA and bundle,scripts/identity; scripts/verify/verify_trust_root*; artifacts/trust,"SPIRE CSR, Istio, proof, dashboards",SPIRE CA and bundle,"SPIRE CSR, Istio, proof, dashboards",See 13_NETWORK_AND_TRUST_ATLAS.md,Trust-state classification authority,SPIRE CA and bundle,"SPIRE CSR, Istio, proof, dashboards",root_lifecycle_status.json,"proof/status, logs, runtime state as applicable",root_lifecycle_status.json,Stale root fails bootstrap/proof,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Trust lifecycle producer,Rollover and stale-root tests,root_lifecycle_status.json,See repository roots and atlas cross-references,Rollover semantics are complex; single authority source remains SPIRE,Root rollover hardening,HIGH,VERY_HIGH,,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
SYS-013,SPIRE CSR / Istio CA bridge,Issue Istio workload certificates from SPIRE-backed authority.,CANONICAL_IDENTITY,LIVE,platform/identity/spire-csr; scripts/infra/refresh_spire_istio_ca_path.sh,pre-ingress refresh bootstrap stage,spire-csr deployment in istio-system,spiffe://.../ns/istio-system/sa/spire-csr,Istio CSR signing bridge,CSR signing and CA path refresh,CSR CA secret/config and projected roots,SPIRE root/bundle,platform/identity/spire-csr; scripts/infra/refresh_spire_istio_ca_path.sh,"istiod, Envoy workloads",SPIRE root/bundle,"istiod, Envoy workloads",spiffe://.../ns/istio-system/sa/spire-csr,Istio CSR signing bridge,SPIRE root/bundle,"istiod, Envoy workloads",identity-chain and root fingerprints,"proof/status, logs, runtime state as applicable",identity-chain and root fingerprints,Unavailable blocks certificate issuance/renewal,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,SPIRE-Istio refresh producer,Cold-start/root serial tests,identity-chain and root fingerprints,See repository roots and atlas cross-references,Single replica,SPIRE/Istio integration,HIGH,VERY_HIGH,,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
SYS-014,Istio mesh and ingress,"Provide Envoy mTLS, peer identity, routing, and proxy-bound XFCC.",CANONICAL_CONTROL_PLANE,LIVE,platform/deploy/infra/istio; scripts/infra/istio*,bootstrap Istio stages,"istiod, ingressgateway, injected sidecars",SPIFFE SVID via Envoy,Transport identity and L7 policy authority,Route/filter traffic; SANITIZE_SET XFCC,"Mesh config, certs, routes","SPIRE CSR, Kubernetes services",platform/deploy/infra/istio; scripts/infra/istio*,"applications, policies, proof","SPIRE CSR, Kubernetes services","applications, policies, proof",See 13_NETWORK_AND_TRUST_ATLAS.md,Transport identity and L7 policy authority,"SPIRE CSR, Kubernetes services","applications, policies, proof",Envoy config/identity and traffic metrics,"proof/status, logs, runtime state as applicable",Envoy config/identity and traffic metrics,Control-plane outage degrades config/renewal; policy remains in proxies until expiry/state change,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Istio bootstrap,"Mesh, XFCC, boundary tests",Envoy config/identity and traffic metrics,See repository roots and atlas cross-references,Single istiod/ingress replicas,Service mesh integration,HIGH,VERY_HIGH,,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
SYS-015,Kubernetes RBAC and network policy,Enforce API authorization and L3/L4 workload isolation.,CANONICAL_ENFORCEMENT,LIVE,platform/deploy; platform/policy; scripts/verify/verify_rbac_resolution.sh,bootstrap manifests,API server/CNI,ServiceAccount token/RBAC identity,Kubernetes control authority,Allow/deny API and network operations,"Roles, bindings, NetworkPolicies",Kubernetes identity and namespace labels,platform/deploy; platform/policy; scripts/verify/verify_rbac_resolution.sh,workloads and proof,Kubernetes identity and namespace labels,workloads and proof,See 13_NETWORK_AND_TRUST_ATLAS.md,Kubernetes control authority,Kubernetes identity and namespace labels,workloads and proof,auth can-i and negative connectivity evidence,"proof/status, logs, runtime state as applicable",auth can-i and negative connectivity evidence,Denies by default only where policies exist,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Manifest owner/bootstrap,RBAC and isolation tests,auth can-i and negative connectivity evidence,See repository roots and atlas cross-references,"Coverage is namespace/policy specific, not universal",Native enforcement layer,HIGH,HIGH,,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
SYS-016,Kyverno admission,Enforce signed/digest-pinned workload admission and policy constraints.,CANONICAL_ENFORCEMENT,LIVE,platform/policy/kyverno; scripts/verify/verify_admission_alignment.sh,bootstrap Kyverno stages,Four Kyverno controller deployments,Kyverno service accounts,Admission policy authority,Admission allow/deny; registry signature reads,ClusterPolicies/reports,"registry trust, image signatures",platform/policy/kyverno; scripts/verify/verify_admission_alignment.sh,Kubernetes admission/proof,"registry trust, image signatures",Kubernetes admission/proof,See 13_NETWORK_AND_TRUST_ATLAS.md,Admission policy authority,"registry trust, image signatures",Kubernetes admission/proof,policy reports and negative admission evidence,"proof/status, logs, runtime state as applicable",policy reports and negative admission evidence,Unavailable webhooks fail per configured failurePolicy; admission proof is explicit,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Kyverno policy producer,Admission and registry-probe tests,policy reports and negative admission evidence,See repository roots and atlas cross-references,Registry availability affects new verification,Supply-chain enforcement evolution,HIGH,VERY_HIGH,,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
SYS-017,cert-manager,Issue auxiliary Kubernetes certificates; not workload identity authority.,CANONICAL_CONTROL_PLANE,LIVE,platform/deploy/infra/cert-manager; scripts/make/cert-manager.mk,bootstrap cert-manager,"controller, cainjector, webhook",cert-manager service accounts,Auxiliary certificate authority only,Create/update cert-manager resources,Certificates/issuers,Kubernetes API,platform/deploy/infra/cert-manager; scripts/make/cert-manager.mk,webhooks and infra,Kubernetes API,webhooks and infra,See 13_NETWORK_AND_TRUST_ATLAS.md,Auxiliary certificate authority only,Kubernetes API,webhooks and infra,rollout and image checks,"proof/status, logs, runtime state as applicable",rollout and image checks,Outage blocks auxiliary issuance,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,cert-manager bootstrap,Image and rollout tests,rollout and image checks,See repository roots and atlas cross-references,Must not be confused with SPIRE workload authority,Kubernetes dependency,HIGH,MEDIUM,,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
SYS-018,ThreadForge FastAPI service,Expose governed vector operations through proxy-bound identity.,CANONICAL_RUNTIME,SECONDARY_NOT_NATIVE_V1_QUALIFIED_NOT_COLD_START_SUPPORTED,platform/runtime/api; platform/deploy/services/api; platform/images/api,make runtime-deploy-api,Not deployed in authoritative native topology,Intended spiffe://.../ns/threadforge/sa/threadforge-api,Application ingress authority only,Request handling; local evidence writes; indirect vector operations,Process logs and optional runtime state,"Istio XFCC, policy ConfigMaps, SPIRE socket, vector backends",platform/runtime/api; platform/deploy/services/api; platform/images/api,OperatorCore and clients,"Istio XFCC, policy ConfigMaps, SPIRE socket, vector backends",OperatorCore and clients,Intended spiffe://.../ns/threadforge/sa/threadforge-api,Application ingress authority only,"Istio XFCC, policy ConfigMaps, SPIRE socket, vector backends",OperatorCore and clients,Focused API boundary tests,"proof/status, logs, runtime state as applicable",Focused API boundary tests,Cold deployment target does not apply/create its full Secret/ConfigMap/key dependency set; operation unavailable,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Runtime deployment owner,API hostile identity tests,Focused API boundary tests,See repository roots and atlas cross-references,Not part of Golden Boot; chart defaults render empty tag and target omits required dependency convergence,Ironman/operator API lineage,HIGH,HIGH,REAL post-release runtime correctness/legibility defect; no release invalidation.,SECONDARY,SECONDARY_UNQUALIFIED,False
SYS-019,API identity/capability/AAS boundary,"Convert sanitized XFCC into attested identity, capabilities, and governance inputs.",CANONICAL_RUNTIME,STATICALLY_AND_TEST_PROVEN_SECONDARY,platform/runtime/api/identity_deps.py; platform/runtime/identity; platform/runtime/governance,FastAPI dependency injection,Only when API is deployed,Proxy-bound XFCC URI SAN,Application authorization mediator,Deny requests; derive capability set,Request identity context,Istio SANITIZE_SET and policy files,platform/runtime/api/identity_deps.py; platform/runtime/identity; platform/runtime/governance,"router, OperatorCore, denial logs",Istio SANITIZE_SET and policy files,"router, OperatorCore, denial logs",See 13_NETWORK_AND_TRUST_ATLAS.md,Application authorization mediator,Istio SANITIZE_SET and policy files,"router, OperatorCore, denial logs",165 focused runtime/CIV/proof tests include hostile headers,"proof/status, logs, runtime state as applicable",165 focused runtime/CIV/proof tests include hostile headers,Missing/malformed/duplicate XFCC denied,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,API/identity owner,Boundary and authority tests,165 focused runtime/CIV/proof tests include hostile headers,See repository roots and atlas cross-references,Transport binding depends on trusted proxy topology,Identity repair lineage,HIGH,VERY_HIGH,,SECONDARY,SECONDARY_UNQUALIFIED,False
SYS-020,OperatorCore/SMP mediation,"Mediate secondary API envelopes through authority, governance, ledger, and handlers.",CANONICAL_RUNTIME,SUPPORTED_SECONDARY_NOT_LIVE,platform/runtime/ai/operator_core.py; platform/runtime/smp; platform/runtime/ai/runtime.py,runtime.api.app lifespan,Imported by API; absent from live cluster,Attested IdentityContext from API envelope,Process-local authority plus governance,Vector handlers; latent gated actuation plan handoff,"Operator state, emitted signals","identity, AAS, ledger, vector backends",platform/runtime/ai/operator_core.py; platform/runtime/smp; platform/runtime/ai/runtime.py,"API responses, ledger, actuator","identity, AAS, ledger, vector backends","API responses, ledger, actuator",See 13_NETWORK_AND_TRUST_ATLAS.md,Process-local authority plus governance,"identity, AAS, ledger, vector backends","API responses, ledger, actuator",focused unit/integration tests,"proof/status, logs, runtime state as applicable",focused unit/integration tests,UNCLAIMED authority returns error; ledger failure blocks handler,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Runtime owner,OperatorCore tests,focused unit/integration tests,See repository roots and atlas cross-references,Not mandatory for native bootstrap/proof; comments overstate whole-system centrality,Autonomous Ironman lineage constrained to emit/governed mode,HIGH,HIGH,,SECONDARY,SECONDARY_UNQUALIFIED,False
SYS-021,Actuator/actuation layers,Retain two command-execution abstractions behind default-deny gates.,EXPERIMENTAL,NOT_DEPLOYED_DEFAULT_DENY,platform/runtime/actuator; platform/runtime/actuation; platform/runtime/actions,OperatorCore latent plan path; tests,No live workload/entrypoint in native topology,Plan-carried identity plus process-local gates,Potential command execution if explicitly enabled,subprocess list execution,Process-local plan registry,"OperatorCore, ForgeSec truth, policy",platform/runtime/actuator; platform/runtime/actuation; platform/runtime/actions,Host commands and signals,"OperatorCore, ForgeSec truth, policy",Host commands and signals,See 13_NETWORK_AND_TRUST_ATLAS.md,Potential command execution if explicitly enabled,"OperatorCore, ForgeSec truth, policy",Host commands and signals,unit tests and source audit,"proof/status, logs, runtime state as applicable",unit tests and source audit,Default gates deny; enabling path has self-approved/hash-only plan semantics and needs redesign before support,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Future runtime owner,Actuator gate tests,unit tests and source audit,See repository roots and atlas cross-references,Duplicate implementations; no supported operational activation contract,Autonomous actuation strata,HIGH,LOW,"Security-risk-if-reactivated, not current release authority.",EXPERIMENTAL,SOURCE_ONLY,False
SYS-022,Operator ledger,Fail closed on non-authoritative identity and optionally persist operator events.,CANONICAL_AUDIT,SECONDARY_NOT_LIVE,platform/runtime/ledger/operator_ledger.py; platform/runtime/ledger/postgres_writer.py,OperatorCore bootstrap,Only with API/runtime process,Validated runtime identity,Ledger acceptance authority,Database or in-memory append,Operator events,authority state and THREADFORGE_LEDGER_DSN,platform/runtime/ledger/operator_ledger.py; platform/runtime/ledger/postgres_writer.py,governance/audit consumers,authority state and THREADFORGE_LEDGER_DSN,governance/audit consumers,See 13_NETWORK_AND_TRUST_ATLAS.md,Ledger acceptance authority,authority state and THREADFORGE_LEDGER_DSN,governance/audit consumers,ledger tests,"proof/status, logs, runtime state as applicable",ledger tests,Missing durable DSN degrades to memory; non-authoritative writes denied,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Runtime ledger owner,Ledger and unmocked integration tests,ledger tests,See repository roots and atlas cross-references,API chart does not produce DSN; not current native evidence rail,Operator AI ledger lineage,HIGH,MEDIUM,,SECONDARY,SECONDARY_UNQUALIFIED,False
SYS-023,Security audit chain,"Collect, hash-chain, sign, and verify repository/security audit evidence.",CANONICAL_AUDIT,OPERATOR_INITIATED,scripts/audit; platform/runtime/audit; artifacts/audit,make audit,Host execution; artifacts persisted locally,Audit signing key identity,"Evidentiary, not runtime execution authority",Append/sign local audit artifacts,"Audit chain, key registry, run report",cluster/source/tool outputs,scripts/audit; platform/runtime/audit; artifacts/audit,reviewers and closeout,cluster/source/tool outputs,reviewers and closeout,See 13_NETWORK_AND_TRUST_ATLAS.md,"Evidentiary, not runtime execution authority",cluster/source/tool outputs,reviewers and closeout,audit reports/SUMMARY,"proof/status, logs, runtime state as applicable",audit reports/SUMMARY,Tamper/missing key fails verification; no external anchor,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Audit scripts/human key owner,Audit tests and qualified make audit,audit reports/SUMMARY,See repository roots and atlas cross-references,Local anchoring and retention; multiple historical audit formats,Audit consolidation,HIGH,HIGH,,SUPPORTED_V1,OPERATOR_TOOLING,True
SYS-024,Postgres state plane,Persist data-plane and optional operator-ledger state.,CANONICAL_CONTROL_PLANE,LIVE,platform/deploy/infra/postgres; platform/data/postgres,bootstrap data stage,postgres StatefulSet,postgres service account/database credentials,Database write authority scoped by credentials,SQL writes,50Gi local PVC,bootstrap credentials and clients,platform/deploy/infra/postgres; platform/data/postgres,runtime/data services,bootstrap credentials and clients,runtime/data services,See 13_NETWORK_AND_TRUST_ATLAS.md,Database write authority scoped by credentials,bootstrap credentials and clients,runtime/data services,pod/PVC/readiness evidence,"proof/status, logs, runtime state as applicable",pod/PVC/readiness evidence,Outage affects dependent durable state; native proof does not make API ledger live,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Data bootstrap,integration and readiness tests,pod/PVC/readiness evidence,See repository roots and atlas cross-references,Single replica/local PVC; backup contract not demonstrated,Data plane foundation,HIGH,MEDIUM,,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
